"","...1","locality","stateProvince","occurrenceStatus","individualCount","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","elevation","eventDate","year","basisOfRecord","institutionCode","collectionCode","issue","class","ID","bio_01","bio_02","bio_03","bio_04","bio_05","bio_06","bio_07","bio_08","bio_09","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",1,"PNN Cueva de los Guácharos","Huila","PRESENT",NA,1.60986,-76.109055,NA,NA,"2013-12-27",2013,"HUMAN_OBSERVATION","CLO","EBIRD","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND"," No Duplicado",1,13.9499998092651,8.19999980926514,0.792999982833862,64.5,18.8500003814697,8.55000019073486,10.3000001907349,13.25,14.4499998092651,14.4499998092651,12.9499998092651,4797,524.400024414062,246.100006103516,22.3999996185303,1532.19995117188,862.799987792969,1249.30004882812,1470.30004882812
"2",2,"Cueva del Condor","Antioquia","PRESENT",25,5.928789,-74.83953,NA,NA,"2013-12-05",2013,"HUMAN_OBSERVATION","CLO","EBIRD","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND"," No Duplicado",2,26.25,8.69999980926514,0.791000008583069,57.7999992370605,32.6500015258789,21.6499996185303,11,25.75,26.0499992370605,26.9500007629395,25.4500007629395,3268.69995117188,444.100006103516,130.199996948242,36.7999992370605,1182.40002441406,485,634.799987792969,1016.90002441406
"3",3,"RN Cañon del Río Claro","Antioquia","PRESENT",NA,5.89226,-74.855286,NA,NA,"2010-12-02",2010,"HUMAN_OBSERVATION","CLO","EBIRD","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND"," No Duplicado",3,26.25,8.69999980926514,0.784999966621399,56.7000007629395,32.75,21.6499996185303,11.1000003814697,25.75,26.0499992370605,26.9500007629395,25.4500007629395,3242.89990234375,441.700012207031,132.199996948242,36.7999992370605,1174.19995117188,492.200012207031,613.400024414062,1018.79998779297
"4",6,"Rio Claro - San Luis, I-60  No.  2 a 100","Antioquia","PRESENT",4,5.94466,-74.85973,NA,NA,"2013-08-05",2013,"HUMAN_OBSERVATION","CLO","EBIRD","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND"," No Duplicado",4,23.8500003814697,8.60000038146973,0.791000008583069,48.7000007629395,30.0499992370605,19.1499996185303,10.8999996185303,23.4500007629395,23.5499992370605,24.4500007629395,23.1499996185303,3640.89990234375,486.399993896484,149.399993896484,35.5,1299.09997558594,548.200012207031,719.799987792969,1118.90002441406
"5",8,"Rio Claro -","Antioquia","PRESENT",10,5.916581,-74.816895,NA,NA,"2012-04-25",2012,"HUMAN_OBSERVATION","CLO","EBIRD","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND"," No Duplicado",5,25.25,8.69999980926514,0.792999982833862,53.2000007629395,31.6499996185303,20.6499996185303,11,24.8500003814697,25.0499992370605,25.9500007629395,24.5499992370605,3212.10009765625,440,125.800003051758,37.4000015258789,1167.69995117188,472.799987792969,618.200012207031,1003
"6",9,"Manizales, Colombia","Caldas","PRESENT",1,5.058515,-75.49142,NA,NA,"2013-06-17",2013,"HUMAN_OBSERVATION","CLO","EBIRD","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND"," No Duplicado",6,16.0499992370605,8.19999980926514,0.876000046730042,23.2000007629395,20.5499992370605,11.1499996185303,9.39999961853027,15.9499998092651,15.75,16.3500003814697,15.75,2696.10009765625,353.600006103516,104.5,37.9000015258789,914.5,389.5,869.299987792969,416.100006103516
"7",12,"near Doradal--4 km E. of Rio Claro Reserve, Oilbird cave area","Antioquia","PRESENT",10,5.922644,-74.8385,NA,NA,"2013-01-27",2013,"HUMAN_OBSERVATION","CLO","EBIRD","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND"," No Duplicado",7,26.1499996185303,8.69999980926514,0.782999992370605,56.2999992370605,32.5499992370605,21.4500007629395,11.1000003814697,25.6499996185303,25.8500003814697,26.8500003814697,25.3500003814697,3257.10009765625,443.799987792969,129.899993896484,36.9000015258789,1180.30004882812,484.799987792969,627.599975585938,1017
"8",13,"Rio Claro","Antioquia","PRESENT",NA,5.886597,-74.85709,NA,NA,"2009-05-09",2009,"HUMAN_OBSERVATION","CLO","EBIRD","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND"," No Duplicado",8,25.9500007629395,8.69999980926514,0.778999984264374,57.7000007629395,32.4500007629395,21.25,11.1999998092651,25.4500007629395,25.6499996185303,26.6499996185303,25.1499996185303,3222.39990234375,439.799987792969,131.5,37,1168.09997558594,490.5,605.400024414062,1015
"9",15,"Río Claro area","Antioquia","PRESENT",20,5.9009,-74.8569,NA,NA,"2007-01-27",2007,"HUMAN_OBSERVATION","CLO","EBIRD","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND"," No Duplicado",9,26.5499992370605,8.69999980926514,0.774999976158142,59.0999984741211,33.0499992370605,21.8500003814697,11.1999998092651,26.0499992370605,26.25,27.25,25.75,3266.69995117188,444,133.100006103516,36.7000007629395,1181.30004882812,494.600006103516,622,1023.5
"10",23,"Carrera 119 Calle 52, parcelacion Andalucía","Valle del Cauca","PRESENT",1,3.350704,-76.509045,1000,NA,"2006-12-07",2006,"PRESERVED_SPECIMEN","Universidad del Valle (UniValle)","CVA-UV","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY"," No Duplicado",10,22.25,7.59999990463257,0.852000057697296,26.8999996185303,26.5499992370605,17.6499996185303,8.89999961853027,21.8500003814697,22.5499992370605,22.5499992370605,21.8500003814697,1363.59997558594,200.300003051758,35.5999984741211,45.7000007629395,500.899993896484,135.199996948242,370.200012207031,500.899993896484
