;locality;stateProvince;occurrenceStatus;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;elevation;eventDate;year;basisOfRecord;institutionCode;collectionCode;issue
1;PNN Cueva de los Guácharos;Huila;PRESENT;NA;1.60986;-76.109055;NA;NA;27/12/2013;2013;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
2;Cueva del Condor;Antioquia;PRESENT;25;5.928789;-74.83953;NA;NA;05/12/2013;2013;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
3;RN Cañon del Río Claro;Antioquia;PRESENT;NA;5.89226;-74.855286;NA;NA;02/12/2010;2010;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
4;RN Cañon del Río Claro;Antioquia;PRESENT;30;5.89226;-74.855286;NA;NA;15/08/2013;2013;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
5;RN Cañon del Río Claro;Antioquia;PRESENT;30;5.89226;-74.855286;NA;NA;15/08/2013;2013;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6;Rio Claro - San Luis, I-60  No.  2 a 100;Antioquia;PRESENT;4;5.94466;-74.85973;NA;NA;05/08/2013;2013;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
7;Rio Claro - San Luis, I-60  No.  2 a 100;Antioquia;PRESENT;4;5.94466;-74.85973;NA;NA;05/08/2013;2013;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
8;Rio Claro -;Antioquia;PRESENT;10;5.916581;-74.816895;NA;NA;25/04/2012;2012;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
9;Manizales, Colombia;Caldas;PRESENT;1;5.058515;-75.49142;NA;NA;17/06/2013;2013;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
10;Cueva del Condor;Antioquia;PRESENT;25;5.928789;-74.83953;NA;NA;19/03/2012;2012;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
11;Cueva del Condor;Antioquia;PRESENT;30;5.928789;-74.83953;NA;NA;11/02/2008;2008;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
12;near Doradal--4 km E. of Rio Claro Reserve, Oilbird cave area;Antioquia;PRESENT;10;5.922644;-74.8385;NA;NA;27/01/2013;2013;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
13;Rio Claro;Antioquia;PRESENT;NA;5.886597;-74.85709;NA;NA;09/05/2009;2009;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
14;Rio Claro;Antioquia;PRESENT;NA;5.886597;-74.85709;NA;NA;09/05/2009;2009;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
15;Río Claro area;Antioquia;PRESENT;20;5.9009;-74.8569;NA;NA;27/01/2007;2007;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
16;Cueva del Condor;Antioquia;PRESENT;10;5.928789;-74.83953;NA;NA;07/11/2006;2006;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
17;Cueva del Condor;Antioquia;PRESENT;20;5.928789;-74.83953;NA;NA;03/12/2007;2007;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
18;Cueva del Condor;Antioquia;PRESENT;50;5.928789;-74.83953;NA;NA;19/03/2009;2009;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
19;Cueva del Condor;Antioquia;PRESENT;20;5.928789;-74.83953;NA;NA;18/01/2012;2012;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
