gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue;;;;;
859533159;96ca66b4-f762-11e1-a439-00145eb45e9a;urn:catalog:AMNH:Mammals:M-275954;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;continentis;SUBSPECIES;Natalus tumidirostris continentis (Thomas; 1911);Natalus tumidirostris continentis;;CO;Cueva del Nitro;Santander;PRESENT;1;ccd1ddc0-6c21-11de-8224-b8a03c50a862;;;;;;;;;18/12/1948;18;12;1948;4265597;2432753;PRESERVED_SPECIMEN;AMNH;Mammals;M-275954;968;;;CC0_1_0;;;;native;2025-11-05T00:01:44.554Z;;;;;;
859531747;96ca66b4-f762-11e1-a439-00145eb45e9a;urn:catalog:AMNH:Mammals:M-183855;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;continentis;SUBSPECIES;Natalus tumidirostris continentis (Thomas; 1911);Natalus tumidirostris continentis;;CO;Cueva del Nitro;Santander;PRESENT;1;ccd1ddc0-6c21-11de-8224-b8a03c50a862;;;;;;;;;18/12/1948;18;12;1948;4265597;2432753;PRESERVED_SPECIMEN;AMNH;Mammals;M-183855;968;;;CC0_1_0;;;;native;2025-11-05T00:01:59.070Z;;;;;;
859531742;96ca66b4-f762-11e1-a439-00145eb45e9a;urn:catalog:AMNH:Mammals:M-183854;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;continentis;SUBSPECIES;Natalus tumidirostris continentis (Thomas; 1911);Natalus tumidirostris continentis;;CO;Cueva del Nitro;Santander;PRESENT;1;ccd1ddc0-6c21-11de-8224-b8a03c50a862;;;;;;;;;18/12/1948;18;12;1948;4265597;2432753;PRESERVED_SPECIMEN;AMNH;Mammals;M-183854;888;;;CC0_1_0;;;;native;2025-11-05T00:01:55.963Z;;;;;;
686453654;1d04e739-98a9-4e16-9970-8f8f3bf9e9e3;8e878ed3-1ed8-11e3-bfac-90b11c41863e;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;;CO;SAN GIL VICINITY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
686453653;1d04e739-98a9-4e16-9970-8f8f3bf9e9e3;8e878b4d-1ed8-11e3-bfac-90b11c41863e;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;;CO;SAN GIL VICINITY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
686453652;1d04e739-98a9-4e16-9970-8f8f3bf9e9e3;8e8787cd-1ed8-11e3-bfac-90b11c41863e;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;;CO;SAN GIL VICINITY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
686453651;1d04e739-98a9-4e16-9970-8f8f3bf9e9e3;8e878437-1ed8-11e3-bfac-90b11c41863e;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;;CO;SAN GIL VICINITY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
686453650;1d04e739-98a9-4e16-9970-8f8f3bf9e9e3;8e87809f-1ed8-11e3-bfac-90b11c41863e;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;;CO;SAN GIL VICINITY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
686453649;1d04e739-98a9-4e16-9970-8f8f3bf9e9e3;8e877d10-1ed8-11e3-bfac-90b11c41863e;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;;CO;SAN GIL VICINITY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4979152887;2a337d5a-a784-4f8a-a947-46d69e0fa3eb;IAVH:COLECCIÓN:MAMÍFEROS:IAvH-M-10655;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;;CO;Cueva Macaregua;Santander;PRESENT;;2a7e3080-28a9-11dd-97cd-b8a03c50a862;6.660056;-73.025639;;;;;;;01/08/1974;1;8;1974;2432753;2432753;PRESERVED_SPECIMEN;Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH);IAvH-M;IAvH-M-10655;SNC-064;;;CC_BY_NC_4_0;;;;;2025-11-18T13:58:22.890Z;;COORDINATE_ROUNDED;;;;
4979152886;2a337d5a-a784-4f8a-a947-46d69e0fa3eb;IAVH:COLECCIÓN:MAMÍFEROS:IAvH-M-10656;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;;CO;Cueva Macaregua;Santander;PRESENT;;2a7e3080-28a9-11dd-97cd-b8a03c50a862;6.660056;-73.025639;;;;;;;01/08/1974;1;8;1974;2432753;2432753;PRESERVED_SPECIMEN;Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH);IAvH-M;IAvH-M-10656;SNC-065;;;CC_BY_NC_4_0;;;;;2025-11-18T13:58:22.873Z;;COORDINATE_ROUNDED;;;;
4979152884;2a337d5a-a784-4f8a-a947-46d69e0fa3eb;IAVH:COLECCIÓN:MAMÍFEROS:IAvH-M-10654;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;;CO;Cueva Macaregua;Santander;PRESENT;;2a7e3080-28a9-11dd-97cd-b8a03c50a862;6.660056;-73.025639;;;;;;;01/08/1974;1;8;1974;2432753;2432753;PRESERVED_SPECIMEN;Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH);IAvH-M;IAvH-M-10654;SNC-063;;;CC_BY_NC_4_0;;;;;2025-11-18T13:58:22.870Z;;COORDINATE_ROUNDED;;;;
4979132467;2a337d5a-a784-4f8a-a947-46d69e0fa3eb;IAVH:COLECCIÓN:MAMÍFEROS:IAvH-M-6213;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;;CO;PNN Serrania de Chiribiquete; Rio Sararamano;Caquetá;PRESENT;;2a7e3080-28a9-11dd-97cd-b8a03c50a862;0.158889;-72.625556;;;300;0;;;20/04/2000;20;4;2000;2432753;2432753;PRESERVED_SPECIMEN;Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH);IAvH-M;IAvH-M-6213;2;Andrés-Julián Lozano-Flórez;2022-12-13T00:00:00;CC_BY_NC_4_0;;Fernando Forero;;;2025-11-18T13:58:21.756Z;;COORDINATE_ROUNDED;;;
3414029746;86c06614-5b6c-4e8b-8272-52d31f8d50bb;ISAGEN:MUESTREO-FAUNA-CHS2016:13854;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;La Putana; Quebrada Aguamieluda;Santander;PRESENT;1;04ce62dd-30ec-4d98-8b30-b09cafc3ac38;7.022361;-73.44875;;;653;;;;05/10/2016;5;10;2016;2432753;2432753;HUMAN_OBSERVATION;Isagen S.A E.S.P (Isagen);;;13854;Jessica Tatiana Calderón Patiño;;;;;;;;;;;
3414014620;86c06614-5b6c-4e8b-8272-52d31f8d50bb;ISAGEN:MUESTREO-FAUNA-CHS2016:13459;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;La Putana; Quebrada Aguamieluda;Santander;PRESENT;1;04ce62dd-30ec-4d98-8b30-b09cafc3ac38;7.024611;-73.446;;;653;;;;27/05/2016;27;5;2016;2432753;2432753;HUMAN_OBSERVATION;Isagen S.A E.S.P (Isagen);;;13459;Jessica Tatiana Calderón Patiño;;;;;;;;;;;
3046441736;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:790;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;04/01/1952;4;1;1952;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;790;;Yaneth Muñoz Saba;2003-01-22T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Antonio Miguel;;;2025-11-05T04:01:01.342Z;;MULTIMEDIA_URI_INVALID;;
3046441733;dc68ef79-97f5-4984-9dc4-c463c7be5870;LaSalle:MLS-mam:791;Animalia;Chordata;Mammalia;Chiroptera;Natalidae;Natalus;Natalus tumidirostris;;SPECIES;Natalus tumidirostris Miller;1900;Natalus tumidirostris;Miller;1900;CO;Quebrada Macaregua; Cueva del Nitro;Santander;PRESENT;1;478a9e81-e716-42dc-a68d-03487953a32e;;;;;;;;;04/01/1952;4;1;1952;2432753;2432753;PRESERVED_SPECIMEN;Universidad de La Salle (La Salle);MLS-mam;791;;Cristian Cruz-Rodríguez;2019-01-01T00:00:00;CC_BY_4_0;Museo de La Salle - Universidad de La Salle;Hno. Antonio Miguel;;;2025-11-05T04:01:01.342Z;;MULTIMEDIA_URI_INVALID;;
