gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
980559963	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS248855829	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	PNN Cueva de los Guácharos	Huila	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	1.60986	-76.109055							2013-12-27	27	12	2013	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS248855829				CC_BY_4_0		obsr162751			2025-11-05T07:38:10.767Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
977598959	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS226452877	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Cueva del Condor	Antioquia	PRESENT	25	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.928789	-74.83953							2013-12-05	5	12	2013	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS226452877				CC_BY_4_0		obsr142759			2025-11-05T07:42:57.229Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
972455169	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS218728541	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	RN Cañon del Río Claro	Antioquia	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	5.89226	-74.855286							2010-12-02	2	12	2010	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS218728541				CC_BY_4_0		obsr167442			2025-11-05T07:43:30.711Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
963996473	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS209388417	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	RN Cañon del Río Claro	Antioquia	PRESENT	30	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.89226	-74.855286							2013-08-15	15	8	2013	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS209388417				CC_BY_4_0		obsr48405			2025-11-05T07:43:56.752Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
963836143	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS209208550	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	RN Cañon del Río Claro	Antioquia	PRESENT	30	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.89226	-74.855286							2013-08-15	15	8	2013	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS209208550				CC_BY_4_0		obsr112033			2025-11-05T07:43:29.727Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
963300415	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS208502080	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Rio Claro - San Luis, I-60  No.  2 a 100	Antioquia	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.94466	-74.85973							2013-08-05	5	8	2013	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS208502080				CC_BY_4_0		obsr267669			2025-11-05T07:38:57.143Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
962101928	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS207358907	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Rio Claro - San Luis, I-60  No.  2 a 100	Antioquia	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.94466	-74.85973							2013-08-05	5	8	2013	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS207358907				CC_BY_4_0		obsr30770			2025-11-05T07:42:30.174Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
958953893	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS203703484	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Rio Claro -	Antioquia	PRESENT	10	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.916581	-74.816895							2012-04-25	25	4	2012	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS203703484				CC_BY_4_0		obsr101311			2025-11-05T07:41:50.537Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
957155668	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS201778644	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Manizales, Colombia	Caldas	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.058515	-75.49142							2013-06-17	17	6	2013	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS201778644				CC_BY_4_0		obsr112033			2025-11-05T07:43:10.588Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
956836540	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS201218825	Animalia	Chordata	Aves	Steatornithiformes	Steatornithidae	Steatornis	Steatornis caripensis		SPECIES	Steatornis caripensis von Humboldt, 1817	Steatornis caripensis		CO	Cueva del Condor	Antioquia	PRESENT	25	e2e717bf-551a-4917-bdc9-4fa0f342c530	5.928789	-74.83953							2012-03-19	19	3	2012	2497150	2497150	HUMAN_OBSERVATION	CLO	EBIRD	OBS201218825				CC_BY_4_0		obsr162387			2025-11-05T07:40:07.257Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
